BearID,year,MatLitID,sex,age,repro,N15,mass,headcirc,cort.kit,dam,Family.ID,cort,C13.suess,condition,fYEAR,fAGE,LitCort,LitCond,LitNit,MatCort,MatCond,Matd15N,CortRat,CondRat,NitRat
W0010,1999,,F,1,WithMother,5.23,30,38.5,1,W9403,W9403.1999,4.1392,-23.152,0.779220779,1999,1,3.97,0.8,5.22,,,,1.042619647,0.974025974,1.001915709
W9403,2001,W9403.2001,F,9,WithCubs,4.47,80,58,1,W8808,W9403.2001,5.6876,-22.748,1.379310345,2001,9,5.51,0.39,4.83,5.6876,1.38,4.47,1.032232305,3.536693192,0.925465839
W0216,2001,,M,1,WithMother,4.67,15,NA,1,W9403,W9403.2001,5.8542,-23.098,0.5,2001,1,5.51,0.39,4.83,,,,1.06246824,1.282051282,0.966873706
W0217,2001,,F,1,WithMother,4.72,10,35.5,1,W9403,W9403.2001,5.5112,-22.968,0.281690141,2001,1,5.51,0.39,4.83,,,,1.000217786,0.722282413,0.977225673
W0215,2001,,M,1,WithMother,5.1,14,37,1,W9403,W9403.2001,5.178,-22.938,0.378378378,2001,1,5.51,0.39,4.83,,,,0.939745917,0.970200969,1.055900621
W9403,2005,W9403.2005,F,13,WithCubs,4.41,90,62,2,W8808,W9403.2005,6.37,-23.25,1.451612903,2005,13,8,0.53,5.04,6.37,1.45,4.41,0.79625,2.73889227,0.875
W0618,2005,,M,1,WithMother,4.83,21,41,2,W9403,W9403.2005,9.66,-23.74,0.512195122,2005,1,8,0.53,5.04,,,,1.2075,0.966405891,0.958333333
W0619,2005,,M,1,WithMother,4.93,20,43,2,W9403,W9403.2005,7.54,-23.7,0.465116279,2005,1,8,0.53,5.04,,,,0.9425,0.877577885,0.978174603
W0620,2005,,F,1,WithMother,5.36,25,40,1,W9403,W9403.2005,6.795,-22.99,0.625,2005,1,8,0.53,5.04,,,,0.849375,1.179245283,1.063492063
W9403,2006,W9403.2006,F,14,WithCubs,4.82,90,61,1,W8808,W9403.2006,4.2666,-23.038,1.475409836,2006,14,3.82,0.93,4.69,4.2666,1.48,4.82,1.116910995,1.586462189,1.02771855
